name,id,state,dataset,auroc,balanced_accuracy,accuracy,saa,cac,loss
breastmnist-supmin,se6jvsuz,failed,breast,,,,,,
breastmnist-supmin,bbn4eoe3,finished,breast,,,,,,4.930713653564453
breastmnist-supproto,kpvvjo7s,finished,breast,,,,,,7.994800090789795
breastmnist-supcon,qssy1up0,failed,breast,,,,,,
breastmnist-supmin,5jdajiwv,finished,breast,,,,,,4.930713653564453
breastmnist-supproto,pejxsmk5,finished,breast,,,,,,7.994800090789795
breastmnist-supcon,n21hpvs5,finished,breast,,,,,,5.541233539581299
breastmnist-weightedce,ta2o2i0p,failed,breast,0.848162055015564,,,,,0.0003011692315340042
breastmnist-weightedce,kisjaj2c,finished,breast,0.848162055015564,,,,,0.0003011692315340042
pneumoniamnist-supmin,ddkw7i7i,finished,pneumonia,,,,,,2.2029166221618652
pneumoniamnist-supproto,bh6opa8l,crashed,pneumonia,,,,,,5.409604072570801
pneumoniamnist-supproto,4peyye9n,finished,pneumonia,,,,,,2.204345703125
pneumoniamnist-supproto,m2xs5qz3,finished,pneumonia,,,,,,
pneumoniamnist-supcon,r7s8rguf,finished,pneumonia,,,,,,5.027564525604248
pneumoniamnist-weightedce,k7mvuqvc,finished,pneumonia,0.9935923218727112,,,,,0.003290143795311451
fracatlas-supmin,vbe34uyt,failed,unknown,,,,,,
pneumoniamnist-supproto,sme3hbrg,failed,pneumonia,,,,,,
fracatlas-supmin,40qtpii0,finished,unknown,,,,,,1.5820198059082031
fracatlas-supproto,z1f3v912,finished,unknown,,,,,,2.7183656692504883
fracatlas-supcon,a64qv80e,finished,unknown,,,,,,5.499600887298584
fracatlas-weightedce,1b6p1n58,finished,unknown,0.7933541536331177,,,,,0.00037789344787597656
plants-50_50-supmin,dly21c4y,failed,inat21,,,,,,
insects-50_50-supmin,8d7pkwrq,failed,inat21,,,,,,
insects-50_50-supproto,t83t0uux,failed,inat21,,,,,,
insects-50_50-supcon,qhtn43p9,failed,inat21,,,,,,
insects-50_50-weightedce,lgezu5nj,failed,inat21,,,,,,
insects-95_5-supmin,j797tyoj,failed,inat21,,,,,,
insects-95_5-supproto,6kh3wsjq,failed,inat21,,,,,,
insects-95_5-supcon,30htldk8,failed,inat21,,,,,,
insects-95_5-weightedce,jg0fss9l,failed,inat21,,,,,,
insects-99_1-supmin,x31eydwr,failed,inat21,,,,,,
insects-99_1-supproto,rjq0k4ex,failed,inat21,,,,,,
insects-99_1-supcon,sewu1l9h,failed,inat21,,,,,,
insects-99_1-weightedce,b9r39pyy,failed,inat21,,,,,,
animals-50_50-supmin,ugqj6obf,failed,inat21,,,,,,
animals-50_50-supproto,ewxop8uy,failed,inat21,,,,,,
animals-50_50-supcon,unlec75k,failed,inat21,,,,,,
animals-50_50-weightedce,wx47vqzo,failed,inat21,,,,,,
animals-95_5-supmin,vf294zw7,failed,inat21,,,,,,
animals-95_5-supproto,ony05uyf,failed,inat21,,,,,,
animals-95_5-supcon,8e9htakf,failed,inat21,,,,,,
animals-95_5-weightedce,h01kizhr,failed,inat21,,,,,,
animals-99_1-supmin,2w86v7xl,failed,inat21,,,,,,
animals-99_1-supproto,4zz06enl,failed,inat21,,,,,,
animals-99_1-supcon,c0k8acub,failed,inat21,,,,,,
animals-99_1-weightedce,d85ipsf8,failed,inat21,,,,,,
